"Colorado Medicaid Fee Schedule January 1, 2012",,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2012.  Please refer to the Fee Schedule Instructions on the website for an explanation of each field.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Relative Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
01925,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01926,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
0192T,,759.22,2.68,"$2,034.71",0,999,0,No,
01930,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
01931,,8.5,20.17,Varies based on total anesthesia time,0,999,0,No,
01932,,8.5,20.17,Varies based on total anesthesia time,0,999,0,No,
01933,,8.5,20.17,Varies based on total anesthesia time,0,999,0,No,
01935,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01936,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01951,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
01952,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
01953,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
01958,,5,20.17,Varies based on total anesthesia time,11,70,0,No,
0195T,,,,Code is manually priced,0,999,0,No,
01960,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01961,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01962,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01963,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
01965,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01966,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01967,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01968,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01969,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0196T,,,,Code is manually priced,0,999,0,No,
0197T,,,,Not a benefit,,,,,
0198T,,11.98,2.68,$32.11,0,999,0,No,
01990,,7,20.17,$141.19,0,999,0,No,
01991,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01992,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01996,,11.94,1.00,$11.94,0,999,0,No,
01999,,0,20.17,Varies based on total anesthesia time,0,999,0,No,
0199T,,,,Not a benefit,,,,,
0200T,,,,Not a benefit,,,,,
0201T,,,,Not a benefit,,,,,
0202T,,,,Not a benefit,,,,,
0205T,,,,Not a benefit,,,,,
0206T,,,,Not a benefit,,,,,
0207T,,,,Not a benefit,,,,,
0208T,,,,Not a benefit,,,,,
0209T,,,,Not a benefit,,,,,
0210T,,,,Not a benefit,,,,,
0211T,,,,Not a benefit,,,,,
0212T,,,,Not a benefit,,,,,
0213T,,,,Not a benefit,,,,,
0214T,,,,Not a benefit,,,,,
0215T,,,,Not a benefit,,,,,
0216T,,,,Not a benefit,,,,,
0217T,,,,Not a benefit,,,,,
0218T,,,,Not a benefit,,,,,
0219T,,,,Not a benefit,,,,,
0220T,,,,Not a benefit,,,,,
0221T,,,,Not a benefit,,,,,
0222T,,,,Not a benefit,,,,,
0223T,,,,Code is manually priced,0,999,0,No,
0224T,,,,Code is manually priced,0,999,0,No,
0225T,,,,Code is manually priced,0,999,0,No,
0226T,,,,Code is manually priced,0,999,0,No,
0227T,,,,Code is manually priced,0,999,0,No,
0228T,,,,Code is manually priced,0,999,0,No,
0229T,,,,Code is manually priced,0,999,0,No,
0230T,,,,Code is manually priced,0,999,0,No,
0231T,,,,Code is manually priced,0,999,0,No,
0232T,,,,Code is manually priced,0,999,0,No,
0233T,,,,Code is manually priced,0,999,0,No,
0234T,,,,Code is manually priced,0,999,0,No,
0235T,,,,Code is manually priced,0,999,0,No,
0236T,,,,Code is manually priced,0,999,0,No,
0237T,,,,Code is manually priced,0,999,0,No,
0238T,,,,Code is manually priced,0,999,0,No,
0239T,,,,Code is manually priced,0,999,0,No,
0240T,,,,Code is manually priced,0,999,0,No,
0241T,,,,Code is manually priced,0,999,0,No,
