,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after July 1, 2015 Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
01638,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0163T,,63.54,33.94,"$2,156.55",000,999,000,No,
0164T,,,,Code Is Manually Priced,000,999,000,No,
01650,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01652,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01654,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01656,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0165T,,,,Code Is Manually Priced,000,999,000,No,
01670,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01680,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01682,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0169T,,29.89,33.94,"$1,014.47",000,999,000,No,
01710,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01712,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01714,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01716,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0171T,,17.41,33.94,$590.90,000,999,000,No,
0172T,,7.27,33.94,$246.74,000,999,000,No,
01730,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01732,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01740,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01742,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01744,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0174T,,2.48,7.74,$19.20,000,999,000,No,
01756,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01758,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0175T,,,,Not a benefit,,,,,
01760,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01770,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01772,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01780,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01782,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0178T,,17.37,7.74,$134.44,000,999,000,No,
0179T,,11.50,7.74,$89.01,000,999,000,No,
0180T,,5.87,7.74,$45.43,000,999,000,No,
01810,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01820,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01829,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0182T,,39.05,7.74,$302.25,000,999,000,No,
01830,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01832,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01840,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01842,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01844,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0184T,,,,Code Is Manually Priced,000,999,000,No,
01850,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01852,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0185T,,,,Code Is Manually Priced,000,999,000,No,
01860,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0188T,,,,Not a benefit,,,,,
0189T,,,,Not a benefit,,,,,
0190T,,413.90,2.79,"$1,154.78",000,999,000,No,
01916,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0191T,,443.00,2.79,"$1,235.97",000,999,000,No,
01920,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01922,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01924,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01925,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01926,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01930,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01931,,8.50,28.61,Varies based on total anesthesia time,000,999,000,No,
01932,,8.50,28.61,Varies based on total anesthesia time,000,999,000,No,
01933,,8.50,28.61,Varies based on total anesthesia time,000,999,000,No,
01935,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01936,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01951,,9.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01952,,9.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01953,,9.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01958,,5.00,28.61,Varies based on total anesthesia time,011,70,000,No,
0195T,,,,Code Is Manually Priced,000,999,000,No,
01960,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01961,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01962,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01963,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01965,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01966,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01967,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01968,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01969,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0196T,,,,Code Is Manually Priced,000,999,000,No,
0197T,,,,Not a benefit,,,,,
0198T,,11.98,2.79,$33.42,000,999,000,No,
01990,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01991,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01992,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01996,,12.42,1.00,$12.42,000,999,000,No,
01999,,,,Code Is Manually Priced,000,999,000,No,
0199T,,,,Not a benefit,,,,,
0200T,,,,Not a benefit,,,,,
0201T,,,,Not a benefit,,,,,
0202T,,,,Not a benefit,,,,,
0205T,,,,Not a benefit,,,,,
0206T,,,,Not a benefit,,,,,
0207T,,,,Not a benefit,,,,,
0208T,,,,Not a benefit,,,,,
0209T,,,,Not a benefit,,,,,
0210T,,,,Not a benefit,,,,,
0211T,,,,Not a benefit,,,,,
0212T,,,,Not a benefit,,,,,
0213T,,,,Not a benefit,,,,,
0214T,,,,Not a benefit,,,,,
0215T,,,,Not a benefit,,,,,
0216T,,,,Not a benefit,,,,,
0217T,,,,Not a benefit,,,,,
0218T,,,,Not a benefit,,,,,
0219T,,,,Not a benefit,,,,,
0220T,,,,Not a benefit,,,,,
0221T,,,,Not a benefit,,,,,
0222T,,,,Code Is Manually Priced,,,,,
0223T,,,,Code Is Manually Priced,000,999,000,No,
0224T,,,,Code Is Manually Priced,000,999,000,No,
0225T,,,,Code Is Manually Priced,000,999,000,No,
0226T,,,,Code Is Manually Priced,000,999,000,No,
0227T,,,,Code Is Manually Priced,000,999,000,No,
0228T,,,,Code Is Manually Priced,000,999,000,No,
0229T,,,,Code Is Manually Priced,000,999,000,No,
0230T,,,,Code Is Manually Priced,000,999,000,No,
0231T,,,,Code Is Manually Priced,000,999,000,No,
0232T,,,,Code Is Manually Priced,000,999,000,No,
0233T,,,,Code Is Manually Priced,000,999,000,No,
0234T,,,,Code Is Manually Priced,000,999,000,No,
0235T,,,,Code Is Manually Priced,000,999,000,No,
0236T,,,,Code Is Manually Priced,000,999,000,No,
0237T,,,,Code Is Manually Priced,000,999,000,No,
0238T,,,,Code Is Manually Priced,000,999,000,No,
0239T,,,,Code Is Manually Priced,000,999,000,No,
0240T,,,,Code Is Manually Priced,000,999,000,No,
0241T,,,,Code Is Manually Priced,000,999,000,No,
0243T,,,,Code Is Manually Priced,000,999,000,No,
0244T,,,,Code Is Manually Priced,000,999,000,No,
0245T,,,,Code Is Manually Priced,000,999,000,No,
0246T,,,,Code Is Manually Priced,000,999,000,No,
0247T,,,,Code Is Manually Priced,000,999,000,No,
0248T,,,,Code Is Manually Priced,000,999,000,No,
0249T,,,,Code Is Manually Priced,000,999,000,No,
0253T,,,,Code Is Manually Priced,000,999,000,No,
0254T,,,,Code Is Manually Priced,000,999,000,No,
0255T,,,,Code Is Manually Priced,000,999,000,No,
0260T,,,,Not a benefit,,,,,
0261T,,,,Not a benefit,,,,,
0262T,,,,Code Is Manually Priced,000,999,000,No,
0263T,,,,Not a benefit,,,,,
0264T,,,,Not a benefit,,,,,
0265T,,,,Not a benefit,,,,,
0266T,,,,Not a benefit,,,,,
0267T,,,,Not a benefit,,,,,
0268T,,,,Not a benefit,,,,,
0269T,,,,Not a benefit,,,,,
0270T,,,,Not a benefit,,,,,
0271T,,,,Not a benefit,,,,,
0272T,,,,Not a benefit,,,,,
0273T,,,,Not a benefit,,,,,
0274T,,,,Not a benefit,,,,,
0275T,,,,Not a benefit,,,,,
0278T,,,,Not a benefit,,,,,
0281T,,,,Not a benefit,,,,,
0282T,,,,Code Is Manually Priced,000,999,000,Yes,
0283T,,,,Code Is Manually Priced,000,999,000,Yes,
0284T,,,,Code Is Manually Priced,000,999,000,No,
0285T,,,,Code Is Manually Priced,000,999,000,No,
0287T,,,,Code Is Manually Priced,000,999,000,Yes,
0288T,,,,Not a benefit,,,,,
0289T,,,,Not a benefit,,,,,
0290T,,,,Not a benefit,,,,,
0302T,,,,Not a benefit,,,,,
0303T,,,,Not a benefit,,,,,
0304T,,,,Not a benefit,,,,,
0305T,,,,Not a benefit,,,,,
0306T,,,,Not a benefit,,,,,
0307T,,,,Not a benefit,,,,,
0308T,,,,Not a benefit,,,,,
0309T,,,,Not a benefit,,,,,
0310T,,,,Not a benefit,,,,,
0311T,,,,Not a benefit,,,,,
0312T,,,,Not a benefit,,,,,
0313T,,,,Not a benefit,,,,,
0314T,,,,Not a benefit,,,,,
0315T,,,,Not a benefit,,,,,
0316T,,,,Not a benefit,,,,,
0317T,,,,Not a benefit,,,,,
0318T,,,,Not a benefit,,,,,
0319T,,,,Not a benefit,,,,,
0320T,,,,Not a benefit,,,,,
0321T,,,,Not a benefit,,,,,
0322T,,,,Not a benefit,,,,,
0323T,,,,Not a benefit,,,,,
0324T,,,,Not a benefit,,,,,
0325T,,,,Not a benefit,,,,,
